Periodo,loss,Media,Std,Media,Std
agentDQN_2008-2009_dqn_v1_200_EPS,loss,231.46156,33.192123,246497.1898,21749.05207
agentDQN_2008-2009_dqn_v2_400_EPS,loss,236.19879,43.234875,244030.2825,28484.80158
agentDQN_2008-2009_dqn_v3_200_EPS,loss,nan,nan,239197.0069,24970.41767
agentDQN_2012-2014_dqn_v1_200_EPS,loss,477.4622,95.07426,238585.8304,26684.25698
agentDQN_2012-2014_dqn_v2_400_EPS,loss,478.19473,100.51282,238747.9368,36462.72238
agentDQN_2012-2014_dqn_v3_200_EPS,loss,nan,nan,242667.1964,30350.99285
agentDQN_2018-2020_dqn_v1_200_EPS,loss,719.19354,113.12399,251265.2525,23651.24418
agentDQN_2018-2020_dqn_v2_400_EPS,loss,752.2498,119.808525,235071.8532,41016.74571
agentDQN_2018-2020_dqn_v3_200_EPS,loss,nan,nan,250339.7029,25744.17402
agentDQN_2020-2022_dqn_v1_200_EPS,loss,918.7504,143.86337,236630.052,25249.53465
agentDQN_2020-2022_dqn_v2_400_EPS,loss,951.18713,167.78937,235917.0937,31662.93807
agentDQN_2020-2022_dqn_v3_200_EPS,loss,nan,nan,233097.7634,27943.89567
