#{"t_start": 1684589081.0666106, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
199432.760793,7797,68.546017
176510.478066,7797,141.02745
141654.842116,7797,213.181904
246149.502795,7797,289.053161
307676.383173,7797,365.495776
267209.890428,7797,445.401996
207462.712206,7797,524.553026
217614.611013,7797,605.035676
230048.341902,7797,681.384119
224850.335503,7797,758.714113
185331.211805,7797,833.837562
189330.57552,7797,912.752784
179776.153911,7797,987.230557
174566.150859,7797,1068.394491
177454.679508,7797,1143.042698
178480.393343,7797,1220.832407
180873.179706,7797,1295.80289
186801.243966,7797,1369.461956
220043.509079,7797,1444.716514
227406.146428,7797,1521.866095
222292.943838,7797,1599.163115
176835.409655,7797,1677.700238
170019.045549,7797,1751.677808
172032.063849,7797,1826.747435
198198.095722,7797,1900.944741
184174.213046,7797,1974.916192
178637.150199,7797,2050.119299
169831.442058,7797,2123.790359
148592.075185,7797,2201.280344
169885.58023,7797,2279.676879
176109.012599,7797,2354.506654
171167.837659,7797,2429.292596
186385.436284,7797,2504.281221
175462.30256,7797,2582.783197
182889.481558,7797,2656.639246
193280.295932,7797,2731.454962
207780.742808,7797,2806.936034
212181.569044,7797,2892.402988
212576.185003,7797,2972.510441
210794.38686,7797,3061.320975
214076.157075,7797,3146.289246
210889.773036,7797,3231.621264
213223.559883,7797,3313.617252
213932.631175,7797,3405.193767
211150.404587,7797,3509.279358
212235.713801,7797,3608.245319
212593.748351,7797,3717.166759
212985.750369,7797,3801.715879
213920.226919,7797,3878.341039
213129.476513,7797,3964.320954
213377.303753,7797,4048.831104
212728.665045,7797,4127.352803
213759.778717,7797,4203.398119
212713.969617,7797,4285.802363
212348.236548,7797,4367.460645
212064.371451,7797,4441.446132
211414.734283,7797,4522.644903
212407.006748,7797,4597.270478
211642.870164,7797,4673.593247
213484.012154,7797,4748.57532
212069.963055,7797,4822.993411
214191.546743,7797,4897.308448
212980.125785,7797,4976.677472
213345.293326,7797,5048.525342
214751.436447,7797,5120.260393
211067.29821,7797,5191.378326
213817.894234,7797,5270.711334
212519.964164,7797,5343.438254
213872.500422,7797,5417.632196
213424.966317,7797,5494.063509
211637.738011,7797,5565.760046
212031.348953,7797,5639.890284
212271.016253,7797,5711.087006
212720.853515,7797,5790.264105
213863.113213,7797,5872.273088
211857.74066,7797,5946.357803
213170.080712,7797,6018.020643
211469.912501,7797,6093.593717
214315.351521,7797,6168.337776
211816.551537,7797,6240.687327
212243.862781,7797,6311.019199
213428.57775,7797,6382.216288
211443.225039,7797,6465.600068
212419.746386,7797,6537.507368
212309.429598,7797,6610.579511
211126.039585,7797,6688.545713
213168.47328,7797,6763.97221
212916.864755,7797,6837.971869
212490.022149,7797,6912.762657
212541.347326,7797,6986.382979
213750.941432,7797,7064.170626
212841.367384,7797,7137.190863
214104.378479,7797,7211.143267
212877.667531,7797,7291.124955
213042.185084,7797,7368.60176
210441.488312,7797,7450.752718
213190.957739,7797,7534.48144
212985.363798,7797,7613.587394
214017.292752,7797,7692.742615
212051.72625,7797,7772.823702
212438.745582,7797,7849.457739
214185.901582,7797,7924.17246
211944.143598,7797,8000.283468
212541.676262,7797,8075.636342
211758.850516,7797,8147.641098
212928.17038,7797,8220.934662
212853.156859,7797,8298.31086
211316.4651,7797,8383.124908
212866.876627,7797,8457.840197
212618.161766,7797,8533.613153
212345.480655,7797,8609.657106
213519.043816,7797,8688.488615
212174.724111,7797,8763.702267
213729.32397,7797,8841.369978
213127.463643,7797,8914.495644
212447.999409,7797,8990.108721
211304.201634,7797,9069.967134
212546.502858,7797,9146.15128
210687.256143,7797,9219.474673
212078.576509,7797,9292.190412
214147.903593,7797,9368.952696
212885.670124,7797,9446.380182
214212.678149,7797,9520.206435
211063.520315,7797,9596.568192
212633.190474,7797,9678.794887
210895.083375,7797,9751.871366
212734.761227,7797,9828.285281
212841.9164,7797,9905.537814
211666.845385,7797,9985.543755
212319.524214,7797,10066.709721
213386.543465,7797,10149.32595
211610.128731,7797,10231.35254
212309.974999,7797,10321.066898
212829.661738,7797,10393.250441
212916.282811,7797,10473.9001
213420.788679,7797,10553.799193
211173.142049,7797,10630.345404
212621.236936,7797,10704.100783
211034.9738,7797,10776.09354
212578.103799,7797,10852.270499
211708.20162,7797,10925.184068
213289.890631,7797,10997.283561
213800.012642,7797,11073.793447
211900.700172,7797,11152.683777
212203.570231,7797,11226.723417
214078.993537,7797,11303.638549
212612.816423,7797,11383.688928
212105.652991,7797,11456.538871
212730.336736,7797,11531.671026
213078.300798,7797,11604.933054
213228.250183,7797,11676.962031
211733.00224,7797,11748.853533
213003.560077,7797,11827.011714
213023.560694,7797,11905.592206
211054.425743,7797,11978.225355
211364.181113,7797,12050.172141
212437.953294,7797,12122.676598
213140.608664,7797,12195.78229
212241.224954,7797,12274.902131
213072.221808,7797,12359.358598
210998.222094,7797,12438.23168
212713.953096,7797,12511.703616
211282.20938,7797,12586.440582
213562.936631,7797,12659.637726
213204.22852,7797,12735.475254
212238.108684,7797,12811.054397
212907.593221,7797,12886.975954
212290.794614,7797,12963.63745
212125.128006,7797,13046.800468
212712.471093,7797,13119.28344
210858.004797,7797,13197.860576
212734.38088,7797,13277.886404
212571.256158,7797,13351.16979
211864.197564,7797,13423.826006
212802.837996,7797,13499.308697
211519.215758,7797,13572.100878
213726.011398,7797,13652.596531
212815.811276,7797,13724.579486
211821.365828,7797,13803.468675
212723.17095,7797,13878.410343
213282.297991,7797,13954.242548
212126.897668,7797,14027.116296
212390.136283,7797,14105.137758
213066.121476,7797,14178.351369
212559.07726,7797,14254.765542
212641.891821,7797,14327.230018
211249.999789,7797,14400.280391
213422.79071,7797,14472.326821
213660.186687,7797,14545.61687
214159.831404,7797,14617.716974
211123.373022,7797,14690.52422
212966.093869,7797,14767.188379
211141.325966,7797,14846.926727
213251.774921,7797,14920.677971
212807.105756,7797,14996.381525
211986.803816,7797,15068.341097
213183.808082,7797,15145.474631
212292.574371,7797,15218.185553
210988.506172,7797,15306.310259
214653.257225,7797,15382.864594
211084.198712,7797,15471.175909
214057.955356,7797,15543.586433
212966.354817,7797,15622.795736
212720.461885,7797,15700.910337
211734.868409,7797,15772.979772
213409.395768,7797,15850.286386
213176.966271,7797,15929.292584
213088.497803,7797,16002.274427
212760.365315,7797,16078.671676
213455.393557,7797,16150.888393
212945.392515,7797,16228.588045
212850.715864,7797,16304.038331
212575.921933,7797,16375.66214
212685.759955,7797,16452.087299
211586.82564,7797,16531.026827
212313.086282,7797,16609.232144
213009.221376,7797,16685.629415
211053.691097,7797,16761.997756
213203.916857,7797,16837.41699
213415.453877,7797,16912.600463
212214.443569,7797,16989.655791
211955.466842,7797,17063.904267
212440.089537,7797,17137.857189
212036.037888,7797,17213.462992
213264.711019,7797,17290.639846
211960.944479,7797,17365.653911
211293.52848,7797,17440.433832
212417.185419,7797,17514.16655
214812.658779,7797,17588.121721
212225.330821,7797,17665.01889
211399.716107,7797,17741.279501
212827.188144,7797,17827.606128
212759.268556,7797,17910.394084
214853.559939,7797,17986.906601
213337.880557,7797,18062.196872
211950.295344,7797,18139.720612
213016.769431,7797,18213.308042
212542.967387,7797,18286.39974
212011.744388,7797,18359.313637
212023.726675,7797,18440.729331
212121.628997,7797,18514.812782
212994.959485,7797,18595.019187
213247.660655,7797,18671.269572
211617.893963,7797,18746.756807
210665.4415,7797,18819.391227
211162.368213,7797,18891.611174
211853.76266,7797,18977.166392
213800.564182,7797,19061.582078
212020.907031,7797,19141.244622
212813.448925,7797,19219.124576
213352.556812,7797,19302.19654
212633.060198,7797,19381.858469
213552.496382,7797,19461.111432
213162.778484,7797,19540.253399
